,Source,Target,Weight
0,Peace-, happy new year ,2
1,Peace-, mr0wl,4
2,Peace-, userlain,2
3,Peace-, kid_,4
4,Peace-, Das_Auge,25
5,Peace-, harris,10
6,Peace-, Guest91465,5
7,Peace-, FlowRiser,2
8,Peace-, BluesKaj,12
9,Peace-, Riddell,6
10,Peace-, yofel,12
11,Peace-, shadeslayer,12
12,Peace-, jussi,2
13,Peace-, morgan,4
14,Peace-, jjeronimo,4
15,Peace-, Progers,19
16,Peace-, apachelogger,5
17,ubottu, Error,12
18,ubottu, linux-image (source,9
19,ubottu, Ginoss,2
20,ubottu, Em_,2
21,ubottu, john___,2
22,ubottu, Catbuntu,2
23,ubottu, newb_,2
24,ubottu, franco69,3
25,ubottu, kslater,5
26,ubottu, mokujin,5
27,ubottu, sporkubus,3
28,ubottu, sternbot,2
29,ubottu, KeyboardNotFound,3
30,ubottu, vlc (source,2
31,ubottu, Jammes_R,2
32,ubottu, kelvinella,3
33,ubottu, nearst,2
34,ubottu, pavucontrol (source,2
35,ubottu, rom,2
36,ubottu, blim,2
37,ubottu, jrtappers,2
38,ubottu, blno,2
39,ubottu, SailorMoon,2
40,ubottu, F3Speech,2
41,ubottu, ibt,2
42,ubottu, b3nj,3
43,ubottu, rsyslog (source,3
44,ubottu, kesor,3
45,ubottu, robertoaaaa,2
46,ubottu, atjehcyber,2
47,ubottu, hskafi,2
48,ubottu, xibalba,2
49,ubottu, nickalex,5
50,ubottu, louigi,2
51,ubottu, KDE (http,2
52,ubottu, madc|SPYnX,2
53,ubottu, python (source,3
54,ubottu, Nevin,3
55,ubottu, LambdaMutt_,2
56,ubottu, ichat,2
57,ubottu, ska,2
58,ubottu, Fonsie,3
59,ubottu, root_,2
60,ubottu, schultza,3
61,ubottu, timgrin,2
62,ubottu, SwashBuckla,2
63,ubottu, Coffeecoco,2
64,ubottu, Found,23
65,ubottu, magma,3
66,ubottu, devvrat,2
67,ubottu, konradUsb,2
68,ubottu, ikillcypher,2
69,ubottu, annamaria,3
70,ubottu, Third3ye,2
71,ubottu, jacklk,3
72,ubottu, tux-linux,2
73,ubottu, kumar,2
74,ubottu, DrDiegoDeLaVega,2
75,ubottu, mrg_,2
76,ubottu, anli_,3
77,ubottu, gool_,3
78,ubottu, ultralinux,2
79,ubottu, qasim,4
80,ubottu, marcio,2
81,ubottu, klasa1b10,4
82,ubottu, hilarious,2
83,ubottu, Burnt_Reynolds,2
84,ubottu, montolivo18,2
85,ubottu, tarelerulz,2
86,ubottu, mikeW68,2
87,ubottu, anonymous_,2
88,ubottu, ph4nt0m,2
89,ubottu, dsathe,2
90,ubottu, Kondor,3
91,ubottu, Cong,3
92,ubottu, sagitta007,3
93,ubottu, Ikillcypjer,3
94,ubottu, raphzthename,2
95,ubottu, Text Editors,2
96,ubottu, elfer,2
97,ubottu, Nirvash,3
98,ubottu, invariant,4
99,ubottu, somsip,2
100,ubottu, meet,4
101,ubottu, amanSharma,2
102,ubottu, visionsmile,3
103,ubottu, keshav,4
104,ubottu, iseer,3
105,ubottu, mks1209,3
106,ubottu, pinkpelican,4
107,ubottu, wbf,4
108,ubottu, ReKeToN-DeL_SuR,2
109,ubottu, jirido,4
110,ubottu, yolateng0,2
111,ubottu, thealmand,2
112,ubottu, Sail,4
113,ubottu, bentinata,4
114,ubottu, jil,2
115,ubottu, _Ethan_,2
116,ubottu, Laurenceb,3
117,ubottu, disharmonic,2
